valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby
2015-01-01 00:00:00,17.96,6.08,59.1,190.0,5.0,0.0,30.09,1019.0,10.0
2015-01-01 01:00:00,19.94,8.06,59.4,190.0,5.0,0.0,30.08,1018.7,10.0
2015-01-01 02:00:00,23.0,6.98,49.69,210.0,9.0,0.0,30.06,1018.1,10.0
2015-01-01 03:00:00,21.92,5.0,47.52,230.0,11.0,0.0,30.04,1017.4,10.0
2015-01-01 04:00:00,23.0,3.92,43.21,250.0,13.0,0.0,30.05,1017.7,10.0
2015-01-01 05:00:00,23.0,3.92,43.21,250.0,11.0,0.0,30.06,1018.1,10.0
2015-01-01 06:00:00,23.0,3.02,41.45,240.0,13.0,0.0,30.07,1018.4,10.0
2015-01-01 07:00:00,24.08,3.92,41.3,240.0,11.0,0.0,30.08,1018.9,10.0
2015-01-01 08:00:00,26.06,3.92,38.03,210.0,8.0,0.0,30.08,1018.9,10.0
2015-01-01 09:00:00,28.04,3.92,35.05,220.0,14.0,0.0,30.08,1018.8,10.0
2015-01-01 10:00:00,30.02,5.0,33.97,210.0,10.0,0.0,30.07,1018.4,10.0
2015-01-01 11:00:00,32.0,6.08,32.93,240.0,13.0,0.0,30.03,1017.2,10.0
2015-01-01 12:00:00,33.08,6.08,31.53,220.0,15.0,0.0,29.99,1015.7,10.0
2015-01-01 13:00:00,33.98,6.98,31.69,220.0,15.0,0.0,29.94,1014.2,10.0
2015-01-01 14:00:00,33.08,6.08,31.53,220.0,12.0,0.0,29.93,1013.7,10.0
2015-01-01 15:00:00,33.08,6.08,31.53,190.0,8.0,0.0,29.92,1013.4,10.0
2015-01-01 16:00:00,32.0,6.98,34.31,210.0,12.0,0.0,29.91,1013.1,10.0
2015-01-01 17:00:00,30.92,8.06,37.63,190.0,7.0,0.0,29.91,1013.1,10.0
2015-01-01 18:00:00,30.92,8.06,37.63,210.0,10.0,0.0,29.93,1013.6,10.0
2015-01-01 19:00:00,30.92,10.04,41.13,200.0,9.0,0.0,29.92,1013.3,10.0
2015-01-01 20:00:00,32.0,10.94,40.99,200.0,9.0,0.0,29.92,1013.3,10.0
2015-01-01 21:00:00,32.0,12.02,43.0,210.0,11.0,0.0,29.92,1013.4,10.0
2015-01-01 22:00:00,33.98,12.92,41.33,210.0,11.0,0.0,29.94,1013.9,10.0
2015-01-01 23:00:00,33.98,14.0,43.34,200.0,8.0,0.0,29.95,1014.2,10.0
2015-01-02 00:00:00,33.08,14.0,44.92,210.0,7.0,0.0,29.95,1014.4,10.0
2015-01-02 01:00:00,32.0,14.0,46.92,190.0,8.0,0.0,29.95,1014.3,10.0
2015-01-02 02:00:00,30.92,14.0,49.01,200.0,7.0,0.0,29.97,1015.0,10.0
2015-01-02 03:00:00,28.94,14.0,53.13,230.0,4.0,0.0,29.98,1015.4,10.0
2015-01-02 04:00:00,30.02,15.08,53.29,220.0,4.0,0.0,29.99,1015.6,10.0
2015-01-02 05:00:00,32.0,15.98,51.15,220.0,6.0,0.0,30.02,1016.6,10.0
2015-01-02 06:00:00,33.08,15.98,48.98,220.0,10.0,0.0,30.05,1017.7,10.0
2015-01-02 07:00:00,33.98,15.98,47.25,220.0,9.0,0.0,30.09,1018.9,10.0
2015-01-02 08:00:00,35.06,17.06,47.42,220.0,9.0,0.0,30.11,1019.7,10.0
2015-01-02 09:00:00,35.96,17.96,47.57,230.0,10.0,0.0,30.14,1020.8,10.0
2015-01-02 10:00:00,37.04,19.94,49.62,240.0,12.0,0.0,30.14,1020.7,10.0
2015-01-02 11:00:00,37.04,21.02,51.95,270.0,11.0,0.0001,30.12,1020.2,10.0
2015-01-02 12:00:00,37.94,23.0,54.51,300.0,6.0,0.0001,30.13,1020.4,10.0
2015-01-02 13:00:00,37.04,21.92,53.97,280.0,11.0,0.0001,30.15,1021.2,10.0
2015-01-02 14:00:00,37.94,17.06,42.32,280.0,13.0,0.0,30.17,1021.8,10.0
2015-01-02 15:00:00,37.04,17.96,45.58,330.0,4.0,0.0,30.2,1022.8,10.0
2015-01-02 16:00:00,33.08,17.06,51.33,320.0,4.0,0.0,30.22,1023.4,10.0
2015-01-02 17:00:00,32.0,17.06,53.6,320.0,6.0,0.0,30.26,1024.7,10.0
2015-01-02 18:00:00,32.0,17.96,55.72,340.0,6.0,0.0,30.31,1026.5,10.0
2015-01-02 19:00:00,30.02,17.96,60.38,300.0,6.0,0.0,30.34,1027.6,10.0
2015-01-02 20:00:00,30.02,17.96,60.38,310.0,4.0,0.0,30.37,1028.6,10.0
2015-01-02 21:00:00,26.96,17.06,65.84,290.0,4.0,0.0,30.41,1029.8,10.0
2015-01-02 22:00:00,26.06,17.06,68.33,290.0,3.0,0.0,30.43,1030.8,10.0
2015-01-02 23:00:00,28.94,17.96,63.1,320.0,5.0,0.0,30.45,1031.3,10.0
2015-01-03 00:00:00,28.04,17.06,62.97,0.0,0.0,0.0,30.48,1032.4,10.0
2015-01-03 01:00:00,26.96,17.06,65.84,350.0,6.0,0.0,30.49,1032.7,10.0
2015-01-03 02:00:00,26.06,15.98,65.21,360.0,5.0,0.0,30.5,1033.0,10.0
2015-01-03 03:00:00,23.0,14.0,67.96,10.0,6.0,0.0,30.52,1033.6,10.0
2015-01-03 04:00:00,24.98,14.0,62.55,0.0,0.0,0.0,30.53,1034.1,10.0
2015-01-03 05:00:00,23.0,14.0,67.96,0.0,0.0,0.0,30.56,1035.2,10.0
2015-01-03 06:00:00,23.0,15.98,74.09,0.0,0.0,0.0,30.59,1036.0,10.0
2015-01-03 07:00:00,23.0,15.98,74.09,0.0,0.0,0.0,30.61,1036.8,10.0
2015-01-03 08:00:00,26.06,17.06,68.33,360.0,3.0,0.0,30.62,1037.0,10.0
2015-01-03 09:00:00,28.94,15.98,57.92,90.0,3.0,0.0,30.61,1036.8,10.0
2015-01-03 10:00:00,30.02,14.0,50.84,120.0,3.0,0.0,30.61,1036.7,10.0
2015-01-03 11:00:00,32.0,14.0,46.92,140.0,4.0,0.0,30.59,1035.9,10.0
2015-01-03 12:00:00,33.08,12.92,42.84,80.0,3.0,0.0,30.57,1035.2,10.0
2015-01-03 13:00:00,33.98,12.92,41.33,120.0,6.0,0.0,30.55,1034.7,10.0
2015-01-03 14:00:00,31.400000000000002,17.78,57.64333333333334,146.66666666666666,9.666666666666666,0.0001,30.55,1034.8,2.5
2015-01-03 15:00:00,28.94,23.990000000000002,81.555,105.0,6.5,0.020050000000000002,30.535,1033.7,0.75
2015-01-03 16:00:00,28.04,24.08,84.87,60.0,5.0,0.05,30.48,1032.3,0.75
2015-01-03 17:00:00,28.159999999999997,24.319999999999997,85.30666666666667,16.666666666666668,4.333333333333333,0.05333333333333334,30.463333333333335,1031.8,1.4166666666666667
2015-01-03 18:00:00,28.159999999999997,24.62,86.39,13.333333333333334,5.666666666666667,0.03333333333333333,30.45,1031.2,1.8333333333333333
2015-01-03 19:00:00,27.679999999999996,24.08,86.15666666666668,30.0,5.0,0.05333333333333334,30.419999999999998,1029.6,1.75
2015-01-03 20:00:00,28.354999999999997,24.485,85.2125,100.0,7.0,0.0325,30.369999999999997,1027.8,2.0
2015-01-03 21:00:00,28.94,26.06,88.82,10.0,9.0,0.04,30.29,1025.9,2.0
2015-01-03 22:00:00,29.48,26.509999999999998,88.52,185.0,7.0,0.015,30.255,1024.2,1.25
2015-01-03 23:00:00,30.02,26.96,88.22,355.0,7.0,0.01,30.189999999999998,1022.0,1.625
2015-01-04 00:00:00,30.11,26.78,87.25,350.0,6.0,0.015,30.115000000000002,1019.7,2.0
2015-01-04 01:00:00,30.92,28.04,88.92,360.0,9.0,0.055,30.06,1018.0,2.0
2015-01-04 02:00:00,32.0,28.94,88.32,360.0,7.5,0.035,30.03,1017.0,2.0
2015-01-04 03:00:00,33.08,30.02,88.37,360.0,7.0,0.01,29.99,1015.7,2.0
2015-01-04 04:00:00,33.44,30.560000000000002,89.07499999999999,360.0,7.0,0.01,29.975,1015.0,2.0
2015-01-04 05:00:00,33.08,30.92,91.66,360.0,3.0,0.0001,29.950000000000003,1014.2,3.0
2015-01-04 06:00:00,33.44,30.560000000000002,89.07499999999999,0.0,0.0,5e-05,29.945,1014.0,3.0
2015-01-04 07:00:00,33.44,30.560000000000002,89.07499999999999,0.0,0.0,0.02,29.935000000000002,1013.8,3.0
2015-01-04 08:00:00,33.08,30.92,91.66,0.0,0.0,0.06,29.92,1013.3,3.0
2015-01-04 09:00:00,33.32,30.680000000000003,89.93666666666665,166.66666666666666,5.0,0.0067,29.89,1012.1,0.5
2015-01-04 10:00:00,33.71,30.740000000000002,88.7475,230.0,5.25,0.0001,29.8275,1009.8,2.5625
2015-01-04 11:00:00,33.98,30.92,88.42,140.0,4.0,0.0,29.79,1008.8,7.0
2015-01-04 12:00:00,33.98,31.64,91.04666666666667,36.666666666666664,1.0,0.0001,29.75666666666667,1007.7,0.4166666666666667
2015-01-04 13:00:00,33.53,32.0,94.055,55.0,2.0,0.0,29.71,1005.8,0.25
2015-01-04 14:00:00,33.98,33.08,96.46,0.0,0.0,0.0,29.71,1006.3,0.25
2015-01-04 15:00:00,33.98,32.0,92.36,215.0,3.0,0.0,29.689999999999998,1005.2,0.25
2015-01-04 16:00:00,33.98,32.0,92.36,0.0,0.0,0.0,29.66,1004.6,0.25
2015-01-04 17:00:00,33.98,32.0,92.36,10.0,4.0,0.0,29.64,1003.8,0.5
2015-01-04 18:00:00,33.98,32.0,92.36,0.0,0.0,0.0,29.646666666666665,1004.0,1.4166666666666667
2015-01-04 19:00:00,35.015,33.035,92.4275,175.0,5.75,0.0,29.64,1003.7,1.3125
2015-01-04 20:00:00,38.480000000000004,36.5,92.50999999999999,175.0,5.5,0.0,29.605,1002.6,0.25
2015-01-04 21:00:00,41.96,38.0,86.29333333333334,233.33333333333334,9.666666666666666,3.3333333333333335e-05,29.623333333333335,1003.1,4.416666666666667
2015-01-04 22:00:00,48.02,37.04,65.56,360.0,8.0,0.0001,29.61,1002.6,10.0
2015-01-04 23:00:00,43.97,38.480000000000004,80.89,340.0,8.0,0.005,29.66,1004.3,10.0
2015-01-05 00:00:00,42.98,35.06,73.39,300.0,10.0,0.0001,29.71,1006.0,10.0
2015-01-05 01:00:00,41.0,33.08,73.19,280.0,4.0,0.0,29.73,1006.9,10.0
2015-01-05 02:00:00,39.02,30.92,72.46,290.0,5.0,0.0,29.76,1008.0,10.0
2015-01-05 03:00:00,39.02,30.02,69.86,0.0,0.0,0.0,29.77,1008.1,10.0
2015-01-05 04:00:00,37.04,30.02,75.5,270.0,4.0,0.0,29.79,1008.8,10.0
2015-01-05 05:00:00,39.02,24.98,56.77,300.0,16.0,0.0,29.85,1010.8,10.0
2015-01-05 06:00:00,37.04,19.04,47.75,300.0,15.0,0.0,29.89,1012.3,10.0
2015-01-05 07:00:00,35.06,19.94,53.66,320.0,15.0,0.0,29.95,1014.2,10.0
2015-01-05 08:00:00,33.98,19.94,56.02,320.0,16.0,0.0001,30.01,1016.2,10.0
2015-01-05 09:00:00,32.0,12.02,43.0,310.0,14.0,0.0,30.04,1017.3,10.0
2015-01-05 10:00:00,33.08,12.02,41.17,300.0,19.0,0.0,30.04,1017.1,10.0
2015-01-05 11:00:00,30.92,5.0,32.75,310.0,21.0,0.0,30.03,1017.1,10.0
2015-01-05 12:00:00,32.0,3.92,29.83,280.0,20.0,0.0,30.04,1017.5,10.0
2015-01-05 13:00:00,30.02,3.02,31.01,280.0,14.0,0.0,30.07,1018.4,10.0
2015-01-05 14:00:00,28.94,1.04,29.56,290.0,15.0,0.0,30.11,1019.7,10.0
2015-01-05 15:00:00,26.96,-5.08,23.99,290.0,26.0,0.0,30.15,1021.2,10.0
2015-01-05 16:00:00,24.08,-2.92,29.98,300.0,14.0,0.0,30.19,1022.5,10.0
2015-01-05 17:00:00,21.92,3.02,43.38,300.0,12.0,0.0,30.24,1024.0,10.0
2015-01-05 18:00:00,19.94,3.02,47.19,320.0,12.0,0.0,30.28,1025.6,10.0
2015-01-05 19:00:00,19.04,3.02,49.03,320.0,13.0,0.0,30.34,1027.5,10.0
2015-01-05 20:00:00,17.06,1.94,50.79,340.0,10.0,0.0,30.32,1026.9,10.0
2015-01-05 21:00:00,15.98,1.94,53.22,310.0,7.0,0.0,30.33,1027.3,10.0
2015-01-05 22:00:00,15.08,1.94,55.35,300.0,6.0,0.0,30.35,1027.9,10.0
2015-01-05 23:00:00,15.08,1.94,55.35,280.0,7.0,0.0,30.34,1027.6,10.0
2015-01-06 00:00:00,14.0,1.94,58.02,280.0,4.0,0.0,30.36,1028.5,10.0
2015-01-06 01:00:00,12.92,1.04,58.34,260.0,4.0,0.0,30.38,1029.2,10.0
2015-01-06 02:00:00,14.0,-0.04,52.9,230.0,3.0,0.0,30.37,1028.8,10.0
2015-01-06 03:00:00,12.02,3.02,66.56,0.0,0.0,0.0,30.35,1027.9,10.0
2015-01-06 04:00:00,12.02,3.92,69.38,30.0,3.0,0.0,30.32,1027.1,10.0
2015-01-06 05:00:00,14.0,3.92,63.59,250.0,3.0,0.0,30.34,1027.7,10.0
2015-01-06 06:00:00,15.08,1.04,53.07,220.0,5.0,0.0,30.33,1027.2,10.0
2015-01-06 07:00:00,15.98,1.04,51.03,220.0,7.0,0.0,30.36,1028.2,10.0
2015-01-06 08:00:00,17.06,1.04,48.7,190.0,6.0,0.0,30.34,1027.5,10.0
2015-01-06 09:00:00,17.06,1.94,50.79,240.0,7.0,0.0,30.32,1026.9,8.0
2015-01-06 10:00:00,15.979999999999999,7.04,67.38333333333334,190.0,4.666666666666667,0.0001,30.296666666666667,1025.7,1.8333333333333333
2015-01-06 11:00:00,15.98,10.04,76.98,165.0,5.5,0.00505,30.225,1023.8,1.75
2015-01-06 12:00:00,17.06,10.339999999999998,74.46333333333332,146.66666666666666,5.333333333333333,0.0034000000000000002,30.203333333333333,1022.4,4.333333333333333
2015-01-06 13:00:00,17.96,10.489999999999998,72.11,150.0,5.0,0.0001,30.16,1021.4,2.75
2015-01-06 14:00:00,17.96,10.04,70.66,155.0,4.0,0.0001,30.130000000000003,1020.3,5.0
2015-01-06 15:00:00,19.22,10.219999999999999,67.485,0.0,0.0,0.0001,30.11,1019.7,10.0
2015-01-06 16:00:00,19.04,8.96,64.28,210.0,4.0,0.0,30.095,1019.3,10.0
2015-01-06 17:00:00,19.04,10.04,67.46,200.0,4.0,0.0001,30.07,1018.6,5.0
2015-01-06 18:00:00,17.509999999999998,10.489999999999998,73.565,245.0,3.0,0.0001,30.07,1018.4,7.5
2015-01-06 19:00:00,16.34,10.219999999999999,76.49000000000001,115.0,1.5,0.0,30.060000000000002,1017.9,10.0
2015-01-06 20:00:00,12.02,8.06,83.78,0.0,0.0,0.0,30.04,1017.7,10.0
2015-01-06 21:00:00,12.02,6.98,79.79,0.0,0.0,0.0,30.04,1017.5,9.5
2015-01-06 22:00:00,8.96,5.0,83.56,0.0,0.0,0.0,30.02,1016.8,9.0
2015-01-06 23:00:00,10.04,6.08,83.64,230.0,4.0,0.0,29.99,1015.7,9.0
2015-01-07 00:00:00,8.96,3.92,79.52,150.0,3.0,0.0,29.94,1014.3,9.0
2015-01-07 01:00:00,12.02,6.08,76.59,210.0,4.0,0.0,29.94,1014.2,10.0
2015-01-07 02:00:00,14.0,8.06,76.79,230.0,6.0,0.0,29.95,1014.3,10.0
2015-01-07 03:00:00,15.98,8.06,70.43,230.0,6.0,0.0,29.91,1013.2,10.0
2015-01-07 04:00:00,15.98,8.96,73.34,230.0,5.0,0.0,29.88,1012.1,10.0
2015-01-07 05:00:00,15.98,8.06,70.43,210.0,4.0,0.0,29.86,1011.4,10.0
2015-01-07 06:00:00,17.06,8.06,67.21,250.0,5.0,0.0,29.86,1011.4,10.0
2015-01-07 07:00:00,15.98,6.98,67.07,220.0,4.0,0.0,29.87,1011.6,10.0
2015-01-07 08:00:00,19.04,8.06,61.72,250.0,14.0,0.0,29.85,1010.9,10.0
2015-01-07 09:00:00,21.92,8.06,54.61,260.0,13.0,0.0,29.84,1010.6,10.0
2015-01-07 10:00:00,23.0,5.0,45.41,270.0,15.0,0.0,29.83,1010.3,10.0
2015-01-07 11:00:00,24.08,3.02,39.62,270.0,10.0,0.0,29.81,1009.7,10.0
2015-01-07 12:00:00,21.92,6.98,52.01,280.0,14.0,0.0,29.81,1009.7,10.0
2015-01-07 13:00:00,21.245,9.995000000000001,61.485,297.5,19.75,0.0001,29.835,1010.7,4.25
2015-01-07 14:00:00,20.3,5.960000000000001,53.586666666666666,316.6666666666667,15.666666666666666,0.0001,29.863333333333333,1012.0,7.333333333333333
2015-01-07 15:00:00,19.04,-0.04,42.52,310.0,12.0,0.0,29.91,1013.2,10.0
2015-01-07 16:00:00,15.98,-0.94,46.51,320.0,21.0,0.0001,29.97,1015.2,9.0
2015-01-07 17:00:00,12.979999999999999,-2.68,49.166666666666664,310.0,20.0,0.0001,30.013333333333332,1017.4,9.666666666666666
2015-01-07 18:00:00,8.96,-11.92,37.25,310.0,21.0,0.0,30.09,1019.2,10.0
2015-01-07 19:00:00,6.98,-11.02,42.6,310.0,16.0,0.0,30.12,1020.2,10.0
2015-01-07 20:00:00,6.08,-11.92,42.44,310.0,14.0,0.0,30.15,1021.3,10.0
2015-01-07 21:00:00,5.0,-13.0,42.24,340.0,12.0,0.0,30.17,1022.0,10.0
2015-01-07 22:00:00,3.92,-13.0,44.39,320.0,16.0,0.0,30.17,1022.1,10.0
2015-01-07 23:00:00,3.02,-14.08,43.83,320.0,19.0,0.0,30.2,1023.0,10.0
2015-01-08 00:00:00,1.94,-14.08,46.08,310.0,17.0,0.0,30.22,1023.7,10.0
2015-01-08 01:00:00,1.04,-14.98,45.92,320.0,15.0,0.0,30.24,1024.2,10.0
2015-01-08 02:00:00,1.04,-14.08,48.05,320.0,13.0,0.0,30.25,1024.7,10.0
2015-01-08 03:00:00,-0.04,-14.08,50.54,320.0,11.0,0.0,30.26,1025.0,10.0
2015-01-08 04:00:00,-0.04,-14.08,50.54,310.0,9.0,0.0,30.27,1025.4,10.0
2015-01-08 05:00:00,1.04,-13.0,50.73,320.0,9.0,0.0,30.29,1026.2,10.0
2015-01-08 06:00:00,1.04,-11.92,53.54,280.0,7.0,0.0,30.33,1027.4,10.0
2015-01-08 07:00:00,1.04,-11.02,55.98,280.0,4.0,0.0,30.35,1028.1,10.0
2015-01-08 08:00:00,3.02,-9.94,53.87,240.0,4.0,0.0,30.35,1028.2,10.0
2015-01-08 09:00:00,6.08,-7.96,51.58,220.0,5.0,0.0,30.35,1028.1,10.0
2015-01-08 10:00:00,10.94,-5.08,47.66,240.0,9.0,0.0,30.33,1027.3,10.0
2015-01-08 11:00:00,15.08,-4.0,41.82,220.0,9.0,0.0,30.29,1026.1,10.0
2015-01-08 12:00:00,17.96,-0.94,42.69,210.0,11.0,0.0,30.26,1025.2,10.0
2015-01-08 13:00:00,19.94,-0.94,39.22,260.0,12.0,0.0,30.26,1025.1,10.0
2015-01-08 14:00:00,19.94,-0.94,39.22,220.0,8.0,0.0,30.26,1025.2,10.0
2015-01-08 15:00:00,19.94,-0.94,39.22,210.0,11.0,0.0,30.28,1025.6,10.0
2015-01-08 16:00:00,19.04,-0.94,40.76,190.0,8.0,0.0,30.26,1025.0,10.0
2015-01-08 17:00:00,17.96,-0.04,44.54,180.0,8.0,0.0,30.25,1024.6,10.0
2015-01-08 18:00:00,17.96,-0.04,44.54,180.0,10.0,0.0,30.25,1024.6,10.0
2015-01-08 19:00:00,17.06,1.04,48.7,180.0,8.0,0.0,30.24,1024.5,10.0
2015-01-08 20:00:00,17.06,-0.04,46.3,190.0,7.0,0.0,30.23,1023.9,10.0
2015-01-08 21:00:00,17.06,1.04,48.7,190.0,8.0,0.0,30.22,1023.6,10.0
2015-01-08 22:00:00,15.98,1.04,51.03,200.0,11.0,0.0,30.18,1022.5,10.0
2015-01-08 23:00:00,15.98,1.04,51.03,190.0,10.0,0.0,30.16,1021.5,10.0
2015-01-09 00:00:00,15.98,-0.04,48.52,210.0,11.0,0.0,30.14,1021.0,10.0
2015-01-09 01:00:00,15.98,-0.94,46.51,200.0,11.0,0.0,30.11,1019.9,10.0
2015-01-09 02:00:00,15.98,-0.04,48.52,190.0,8.0,0.0,30.07,1018.4,10.0
