date,NFLX,IBM,GE,GOOG,AAPL,KO,AMZN,HD,NKE,^DJI,WMT
2017-12-27,18.624,101.1861,78.2517,51.9762,39.8447,35.3242,59.113,153.272,55.3548,24774.3008,28.9267
2017-12-28,19.271,101.7873,78.1617,51.9153,39.9568,35.1627,59.305,152.9416,55.3548,24837.5098,28.9675
2017-12-29,19.196,101.3776,78.5669,51.8291,39.5247,35.2857,58.4735,152.7401,55.003,24719.2207,28.7781
2018-01-02,20.107,101.9261,80.9531,52.7504,40.2324,35.0242,59.4505,151.5313,55.8296,24824.0098,28.7315
2018-01-03,20.505,104.7278,81.7186,53.6162,40.2254,34.9473,60.21,152.321,55.8208,24922.6797,28.9821
2018-01-04,20.563,106.8489,83.4295,53.8103,40.4122,35.4395,60.4795,153.5299,55.7856,25075.1309,29.0083
2018-01-05,20.999,107.371,83.4745,54.5944,40.8723,35.4319,61.457,155.1336,56.2605,25295.8691,29.1802
2018-01-08,21.205,108.0186,82.3039,54.8277,40.7205,35.378,62.3435,154.7629,56.7617,25283.0,29.6116
2018-01-09,20.931,108.2564,83.5645,54.794,40.7158,35.5549,62.635,155.6171,56.3572,25385.8008,29.256
2018-01-10,21.252,108.4877,85.2304,54.6132,40.7065,35.4319,62.7165,154.5695,56.4715,25369.1309,29.0462
2018-01-11,21.724,108.5009,85.6356,54.7574,40.9377,35.4088,63.834,156.8904,56.5331,25574.7305,29.1482
2018-01-12,22.123,107.8005,84.465,55.5865,41.3605,35.4934,65.26,158.2926,56.8672,25803.1895,29.3959
2018-01-16,22.153,108.2696,81.9887,55.5617,41.1503,35.7856,65.243,158.2039,55.768,25792.8594,29.3434
2018-01-17,21.75,111.4414,78.1166,56.0679,41.8299,36.0087,64.75,161.0327,56.111,26115.6504,29.9292
2018-01-18,22.033,111.752,75.5052,55.9595,41.8673,36.0548,64.666,159.8319,56.3748,26017.8105,30.3955
2018-01-19,22.046,107.2917,73.209,56.3419,41.6804,36.2701,64.729,162.2496,59.1007,26071.7207,30.48
2018-01-22,22.758,107.4437,72.8038,57.2483,41.3394,36.4394,66.3655,164.772,58.3797,26214.5996,30.7306
2018-01-23,25.029,109.8555,76.0455,57.9496,41.3488,36.4932,68.127,165.1266,59.0392,26210.8105,30.8618
2018-01-24,26.13,109.2741,74.0194,57.6658,40.6901,36.7854,67.8755,166.1904,59.7954,26252.1191,30.8297
2018-01-25,26.97,109.3401,72.8488,57.9694,39.9638,36.7931,68.8975,165.5054,59.5404,26392.7891,31.0658
2018-01-26,27.46,110.5758,72.6237,58.2404,40.0572,37.3238,70.1025,167.0043,59.8306,26616.7109,31.5874
2018-01-29,28.459,110.219,73.2991,58.2275,39.2281,36.6855,70.884,165.1427,59.4261,26439.4805,31.9255
2018-01-30,27.88,108.1176,71.8133,57.6386,38.9969,36.4624,71.891,162.6364,59.2063,26076.8906,31.3951
2018-01-31,27.03,108.1705,72.8038,57.9481,39.1043,36.6009,72.5445,161.903,59.9889,26149.3906,31.0658
2018-02-01,26.507,107.3115,72.1284,57.8372,39.1861,36.4932,69.5,161.0971,59.4877,26186.7109,30.751
2018-02-02,26.743,105.0847,70.4175,55.0734,37.4858,35.9394,71.4975,156.3183,59.1095,25520.9609,30.4479
2018-02-05,25.426,100.7895,67.1308,52.2947,36.5492,34.5243,69.5,147.5663,56.621,24345.75,29.1686
2018-02-06,26.572,102.6463,68.7516,53.5231,38.0767,34.3551,72.142,153.957,57.3509,24912.7695,29.4046
2018-02-07,26.456,101.6618,68.6616,51.9371,37.2615,34.2705,70.839,154.1584,57.7114,24893.3496,29.9729
2018-02-08,25.01,98.4855,65.0597,49.6061,36.2362,33.1477,67.525,146.0432,54.9503,23860.4609,29.1482
2018-02-09,24.947,99.7667,67.2659,51.4021,36.6795,33.1707,66.98,148.3802,57.5883,24190.9004,28.9588
2018-02-12,25.795,101.0279,66.7256,52.1035,38.1569,33.8168,69.3115,148.3319,58.0192,24601.2695,29.0112
2018-02-13,25.827,100.5941,66.0502,52.1114,38.5391,33.986,70.7255,148.0579,57.9224,24640.4492,29.428
